State_UT,SSA - 2014-15,SSA - 2015-16,SSA - 2016-17 ,RMSA - 2014-15,RMSA - 2015-16,RMSA - 2016-17
Andhra Pradesh,154566.68,66810.81,63302.18,8671,27182.77,4895.28
Arunachal Pradesh,33607.83,18179.44,16399.64,137.57,3626.43,169.04
Assam,97782.17,100464.64,53037.77,15981.06,16261.66,14506.65
Bihar,216336.05,251557.33,270688.44,14484.5,3601.01,18496.36
Chhattisgarh,92705.34,62219.7,57269.75,19018.66,22917.78,18777.11
Goa,1310.38,813.58,869.11,323.15,229.15,334.98
Gujarat,78476.48,61563.82,77740.5,9600.8,12238.29,13588.38
Haryana,42110.65,34501.21,18699.88,15018.76,7726.57,13698.05
Himachal Pradesh,12547.3,12139.13,12825.46,3609.39,12552.07,18204.97
Jammu & Kashmir,51276.51,129980.55,83275.43,11544.16,9614.42,0
Jharkhand,75775.18,55863.31,42347.08,11120.31,7753.04,12713.1
Karnataka,66213.52,41759.33,54495.5,30351.27,20968.84,5149.23
Kerala,21844.02,12858.86,9049.01,3991.25,10247.22,958.5
Madhya Pradesh,149094.91,160197.85,141450.86,21010.77,28340.93,24175.59
Maharashtra,58288.54,41225.28,60369.65,23451.85,20180.33,8984.93
Manipur,21465.8,18355.46,4405.31,6242.42,5093.41,1710.17
Meghalaya,20404.51,16626.96,15438,58.62,40.08,0
Mizoram,14739.69,9437.51,3706.31,2802.65,2080.48,1915.92
Nagaland,20568.72,8739.53,8413.46,363.88,5326.42,2509.58
Odisha,66695.31,82081.65,60349.94,20100.26,19870.99,10058.52
Punjab,36215.98,30003.82,27086.98,9938.55,4482.69,6852.12
Rajasthan,248041.55,193462.09,164678.9,34421.25,37129.87,28762.99
Sikkim,4526.13,4054.36,2848.89,1118.81,1661.22,736.61
Tamil Nadu,135819.79,82111.73,79143.3,33364.51,31471.84,14458.1
Telangana,81406.88,21776.01,21776.1,8289.07,20008.1,2359.54
Tripura,19800.13,16956.97,12553.95,599.04,910.28,1383.85
Uttar Pradesh,449867.53,505434.3,430674,14228.11,13150,17287.36
Uttarakhand,22880.56,22588.4,25268.98,5825.84,4330.77,10867.64
West Bengal,97240.3,84679.41,69357.13,10743.7,2909.39,1029.48
A & N Island,147.21,359.46,359,65,158.06,328.91
Chandigarh,3893.53,3521.81,3278.9,181.2,117.65,267.84
Dadra & Nagar Haveli,911.74,594.91,1060.99,49.8,207,67.27
Daman & Diu,72.77,78.38,100,51.44,77.94,98.32
Delhi,6223.73,7293.8,6944.9,2114.07,1952.97,1345.14
Lakshadweep,58.83,139.87,139.87,2.12,9.79,4.2
Puducherry,100,583.14,152.59,75.43,152.56,217.56
Total,2403016.25,2159014.41,1899557.76,338950.27,354582.02,256913.29
