Programme,Male,Female,Total
B.A.-Bachelor of Arts,28.13,34.98,31.38
B.Sc.-Bachelor of Science,13.48,13.75,13.6
B.Com.-Bachelor of Commerce,12.54,11.9,12.24
B.Tech.-Bachelor of Technology,9.66,3.9,6.92
B.E.-Bachelor of Engineering,8.66,3.81,6.35
M.A.-Master of Arts,3.65,6.16,4.84
B.A.(Hons)-Bachelor of Arts (Honors),3.94,4.86,4.38
B.Ed.-Bachelor of Education,1.11,2.36,1.7
M.Sc.-Master of Science,1.5,2.43,1.95
M.B.A.- Master of Business Administration,2.06,1.38,1.74
B.C.A.-Bachelor of Computer Applications,1.71,1.31,1.52
B.Sc.(Hons)-Bachelor of Science (Honors),1.73,1.48,1.61
B.B.A.-Bachelor of Business Administration,1.45,0.99,1.23
M.Com.-Master of Commerce,1.04,1.65,1.33
L.L.B.-Bachelor of Law or Laws,1.26,0.62,0.96
Others,8.07,8.42,8.24
Total,100,100,100
